Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1RIgnPLmupN5JRcncTDUTO,"5LMPXUMhWXshBPjrqvZOfv","Crash Test Rating","Greatest Hits","Remo Drive",2017-03-17,154030,42,spotify:user:prancingoctopus,2023-12-03T22:52:23Z,"alternative emo,bubblegrunge,emo",0.466,0.877,7,-4.174,1,0.172,0.000474,0,0.406,0.566,120.178,4
3fCyVlTqLgRPiHfZGXL57G,"5LMPXUMhWXshBPjrqvZOfv","Two Bux","Natural, Everyday Degradation","Remo Drive",2019-05-31,158373,30,spotify:user:prancingoctopus,2023-12-03T22:52:30Z,"alternative emo,bubblegrunge,emo",0.568,0.911,0,-3.298,0,0.0562,0.0128,0,0.367,0.531,121.971,4
7B0uWqVjMySfDKhtZghBkO,"4QkSD9TRUnMtI8Fq1jXJJe","Heat Wave","Lush","Snail Mail",2018-06-08,308346,52,spotify:user:prancingoctopus,2023-12-03T22:52:36Z,"art pop,baltimore indie,bubblegrunge,indie pop,indie rock",0.503,0.681,9,-5.701,1,0.0332,0.000214,0.00159,0.147,0.191,123.891,4
6CHNlPWuSrXMpZPmB7gkFm,"6lcwlkAjBPSKnFBZjjZFJs","Powerful Man","Rocket","Alex G",2017-05-19,219064,48,spotify:user:prancingoctopus,2023-12-03T22:52:43Z,"philly indie,pov: indie",0.452,0.443,4,-7.435,1,0.0285,0.132,0.00131,0.127,0.273,140.053,4
469RmLzEsicj8VSn9aIuKV,"4yiQZ8tQPux8cPriYMWUFP","Cool","Love Angel Music Baby (Deluxe Version)","Gwen Stefani",2004-11-23,189333,59,spotify:user:prancingoctopus,2023-12-03T22:52:51Z,"dance pop,pop",0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019,4
3FeyKZZcU7ywuJ0LtFSuBO,"4wXchxfTTggLtzkoUhO86Q","Cool","Clean","Soccer Mommy",2018-03-02,196011,43,spotify:user:prancingoctopus,2023-12-03T22:52:58Z,"art pop,bubblegrunge,indie pop,indie rock,small room",0.636,0.66,9,-8.882,1,0.0284,0.447,0.00135,0.109,0.75,107.042,4
6Vdb2b4goEtPxI1DUTS98A,"1HxXNvsraqrsgfmju1yKk8","The Old Gospel Choir","You're Gonna Miss It All","Modern Baseball",2014-02-11,153082,43,spotify:user:prancingoctopus,2023-12-03T22:53:06Z,"alternative emo,emo,philly indie,pov: indie",0.422,0.635,10,-7.065,1,0.0529,0.00639,0.000001,0.0832,0.284,116.684,4
79lzbYqczF4oLoOkxx9mHK,"5LMPXUMhWXshBPjrqvZOfv","Yer Killin' Me","Greatest Hits","Remo Drive",2017-03-17,234534,55,spotify:user:prancingoctopus,2023-12-03T22:53:13Z,"alternative emo,bubblegrunge,emo",0.396,0.718,0,-6.794,0,0.0814,0.00217,0.00077,0.332,0.366,165.272,4
2TqfK2N1kFoX7OySPCB7pQ,"7qbvNcfTfckhCNM8NiR8nN","Catalina Fight Song","Never Hungover Again","Joyce Manor",2014-07-22,65000,61,spotify:user:prancingoctopus,2023-12-03T22:53:21Z,"alternative emo,dreamo,emo,indie punk,lo-fi emo",0.453,0.964,11,-1.41,1,0.0968,0.00385,0,0.103,0.349,107.655,4
7dBt70xgF0BawJvmtgKn8f,"1HxXNvsraqrsgfmju1yKk8","Rock Bottom","You're Gonna Miss It All","Modern Baseball",2014-02-11,132810,55,spotify:user:prancingoctopus,2023-12-03T22:53:30Z,"alternative emo,emo,philly indie,pov: indie",0.386,0.917,1,-4.788,1,0.115,0.00515,0,0.0334,0.619,149.961,4
6e7hIhOLH9zvb3zP5O5gt0,"1Bl6wpkWCQ4KVgnASpvzzA","BOY BYE","GINGER","BROCKHAMPTON",2019-08-23,142186,61,spotify:user:prancingoctopus,2023-12-03T22:53:37Z,"boy band,rap",0.869,0.747,9,-7.143,1,0.151,0.512,0,0.124,0.784,124.932,4
2KRxJ2TgYjlf5WaltolK5C,"4QkSD9TRUnMtI8Fq1jXJJe","Thinning","Habit","Snail Mail",2016-07-12,203746,48,spotify:user:prancingoctopus,2023-12-03T22:53:45Z,"art pop,baltimore indie,bubblegrunge,indie pop,indie rock",0.405,0.957,4,-4.326,1,0.051,0.324,0.779,0.101,0.734,132.374,4
6s0w7lSvo6YZNNenG9LWMT,"5LMPXUMhWXshBPjrqvZOfv","Hunting For Sport","Greatest Hits","Remo Drive",2017-03-17,235825,33,spotify:user:prancingoctopus,2023-12-03T22:53:53Z,"alternative emo,bubblegrunge,emo",0.426,0.827,8,-6.659,0,0.0989,0.000431,0.000184,0.29,0.236,135.247,4
7fd3aMiuwHWKsTdZafjOfZ,"2uYWxilOVlUdk4oV9DvwqK","A Pearl","Be the Cowboy","Mitski",2018-08-17,156145,76,spotify:user:prancingoctopus,2023-12-03T22:53:59Z,"brooklyn indie,pov: indie",0.295,0.637,8,-4.043,1,0.0288,0.0496,0.0236,0.112,0.221,84.551,4
6mCjOSXkABONouTVa6PQOy,"4UXqAaa6dQYAk18Lv7PEgX","Tell That Mick He Just Made My List of Things to Do Today","Take This to Your Grave","Fall Out Boy",2003-05-06,210426,51,spotify:user:prancingoctopus,2023-12-03T22:54:09Z,"emo,modern rock,pop,rock",0.444,0.963,1,-3.565,0,0.108,0.000617,0,0.202,0.418,197.073,4
691Wr3tOjDqic3OTPLouX3,"485uL27bPomh29R4JmQehQ","Ramblin' Gamblin' Man","Ramblin' Gamblin' Man","Bob Seger",1969-04-01,145310,65,spotify:user:prancingoctopus,2023-12-03T22:54:16Z,"album rock,classic rock,country rock,detroit rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.601,0.84,9,-3.828,1,0.0509,0.0232,0,0.0569,0.896,130.811,4
2qsalMTxsMGCPOadfgXSzl,"5LMPXUMhWXshBPjrqvZOfv","Strawberita","Greatest Hits","Remo Drive",2017-03-17,217878,43,spotify:user:prancingoctopus,2023-12-03T22:54:24Z,"alternative emo,bubblegrunge,emo",0.55,0.806,0,-5.381,1,0.0586,0.00188,0.0028,0.112,0.431,166.065,4
7kVoPBSlGghzLoQjODkxGD,"1HxXNvsraqrsgfmju1yKk8","Your Graduation","You're Gonna Miss It All","Modern Baseball",2014-02-11,163760,64,spotify:user:prancingoctopus,2023-12-03T22:54:31Z,"alternative emo,emo,philly indie,pov: indie",0.395,0.902,8,-5.808,0,0.177,0.001,0,0.327,0.632,184.737,4
5hIPEByGk0695Dx6E0xgHY,"0wNZvrIMNUCs24G0wFg2D6","June 21st","WORRY.","Jeff Rosenstock",2016-10-14,63708,38,spotify:user:prancingoctopus,2023-12-03T22:54:40Z,"bubblegrunge,folk punk,indie punk,modern power pop",0.162,0.981,0,-4.535,1,0.06,0.00846,0,0.771,0.287,182.686,4
4qH8fQ5Ub2r6llHnrRGM3w,"21llKqnS025UdaAMslJS4J","Summertime","20th Century Masters: The Millennium Collection: Best Of Billy Stewart","Billy Stewart",2000-01-01,254866,41,spotify:user:prancingoctopus,2023-12-03T22:54:54Z,"chicago soul,classic soul",0.67,0.787,0,-6.847,0,0.0446,0.658,0.000217,0.13,0.819,113.345,4
72pf2aNtLx4dFDzyhrDgBe,"5LMPXUMhWXshBPjrqvZOfv","Summertime","Greatest Hits","Remo Drive",2017-03-17,224162,31,spotify:user:prancingoctopus,2023-12-03T22:55:04Z,"alternative emo,bubblegrunge,emo",0.61,0.692,2,-7.18,1,0.0315,0.000737,0.000275,0.308,0.441,134.989,3
7hPLPHeKbwJrsuDHv4BCTA,"1HxXNvsraqrsgfmju1yKk8","Tears Over Beers","Sports","Modern Baseball",2012-11-27,168750,67,spotify:user:prancingoctopus,2023-12-03T22:55:23Z,"alternative emo,emo,philly indie,pov: indie",0.286,0.63,1,-7.051,1,0.0661,0.000834,0.000752,0.107,0.313,179.975,3
3Dg1BK3rHo6mCvzSO2b9Ct,"4UXqAaa6dQYAk18Lv7PEgX","America's Suitehearts","Folie à Deux","Fall Out Boy",2008-12-10,214133,52,spotify:user:prancingoctopus,2023-12-03T22:55:49Z,"emo,modern rock,pop,rock",0.483,0.931,2,-3.439,1,0.044,0.00826,0,0.107,0.645,160.05,4
3inFc9jIHqZbC3s3fJ5lxh,"5LMPXUMhWXshBPjrqvZOfv","Eat Shit","Greatest Hits","Remo Drive",2017-03-17,140912,39,spotify:user:prancingoctopus,2023-12-03T22:56:02Z,"alternative emo,bubblegrunge,emo",0.434,0.832,8,-5.352,1,0.05,0.000173,0.000604,0.383,0.63,182.045,4
4aspuvGdCnhmcPBvjLAEdb,"07VKGw5BhunkwMnvz71Z1h","Living in Places Like These Can Be Bad for Your Health (Can't Live Here Anymore) [Crafted Sounds Version]","Living in Places Like These Can Be Bad for Your Health (Can't Live Here Anymore) [Crafted Sounds Version]","Short Fictions",2019-04-13,112000,29,spotify:user:prancingoctopus,2023-12-03T22:56:14Z,"5th wave emo,midwest emo,pittsburgh indie,pittsburgh indie rock",0.28,0.922,7,-4.432,1,0.0644,0.00145,0.0275,0.0856,0.413,170.208,4
423FiDerFgzeEcqKEOmZ81,"4UXqAaa6dQYAk18Lv7PEgX","Saturday","Take This to Your Grave","Fall Out Boy",2003-05-06,216699,56,spotify:user:prancingoctopus,2023-12-03T22:56:25Z,"emo,modern rock,pop,rock",0.48,0.929,11,-3.931,1,0.0826,0.00163,0,0.341,0.624,98.045,4
3BpUZB0tw4zNmG3Iw1mclL,"4wXchxfTTggLtzkoUhO86Q","Your Dog","Clean","Soccer Mommy",2018-03-02,194009,58,spotify:user:prancingoctopus,2023-12-03T22:56:34Z,"art pop,bubblegrunge,indie pop,indie rock,small room",0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,0.769,115.047,4
23wk12Fospr5wKHQs4Hljo,"07VKGw5BhunkwMnvz71Z1h","Ellen (A Song About a Book)","The Heart Is a Kaleidoscope","Short Fictions",2017-11-04,204990,8,spotify:user:prancingoctopus,2023-12-03T22:56:53Z,"5th wave emo,midwest emo,pittsburgh indie,pittsburgh indie rock",0.366,0.887,9,-3.632,1,0.0873,0.00259,0.0661,0.15,0.441,147.016,4
51oPoNfiHt3oiK9U0YrsVs,"18H0sAptzdwid08XGg1Lcj","Gemini","The Physical World","Death From Above 1979",2014-09-09,145373,21,spotify:user:prancingoctopus,2023-12-03T22:57:06Z,"canadian rock,dance-punk,garage rock,indietronica,modern alternative rock,modern rock",0.347,0.985,0,-2.862,1,0.083,0.0000552,0,0.256,0.403,163.728,4
0TdsGWuMIPkzEYJnSFs8dE,"5XU0u7HIexXCAh4CcoqXCA","Hot & Informed","Just Married","Glocca Morra",2012-07-10,99065,40,spotify:user:prancingoctopus,2023-12-03T22:57:19Z,"alternative emo,midwest emo,philly indie",0.149,0.788,2,-7.25,1,0.044,0.000462,0.0537,0.64,0.343,160.692,4
3wE9jU1zReHLMHLgAsWIYX,"1Bl6wpkWCQ4KVgnASpvzzA","ST. PERCY","GINGER","BROCKHAMPTON",2019-08-23,210773,48,spotify:user:prancingoctopus,2023-12-03T22:57:27Z,"boy band,rap",0.611,0.635,2,-7.016,1,0.31,0.367,0.00568,0.068,0.739,82.087,4
