track,artist,album,uri,times_played
¿Viva La Gloria? (Little Girl),Green Day,21st Century Breakdown,spotify:track:2mnk1GHN0XmznKiucY4ZW4,1
...And the Gods Made Love,Jimi Hendrix,Electric Ladyland,spotify:track:4COmeKH1pLNNpXcgtMcyQH,3
...To Be Loved,Papa Roach,The Paramour Sessions,spotify:track:4yUUVfwvxtMecOQ2fI7a7j,1
"'39 - Live At Earl’s Court, London / June 1977",Queen,A Night At The Opera,spotify:track:0u2ydS9Bbw4YHFYQ3rHBoM,1
"""From Now On We Are Enemies""",Fall Out Boy,Believers Never Die - Greatest Hits,spotify:track:2hC4LPebn0xctVGsVPOwJX,33
"""The Take Over, The Breaks Over""",Fall Out Boy,Believers Never Die - Greatest Hits,spotify:track:648b848TFWWIIhusas61F7,19
(Coffee's For Closers),Fall Out Boy,Folie à Deux,spotify:track:7iT7qkF9L06cYaIee0aY7B,6
"(I Can't Get No) Satisfaction - Live At The Beacon Theatre, New York / 2006",The Rolling Stones,Shine A Light,spotify:track:2cpSp9PIM8Rs8gMfHcGCOa,1
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,1
(You Will) Set The World On Fire,David Bowie,The Next Day Extra,spotify:track:6jj0HZ05CGxawdT6KAOGOY,1
#88,Lo-Fang,#88,spotify:track:1jjwFHRnfgBTJ049RJz8CQ,1
1/1 - Remastered 2004,Brian Eno,Ambient 1: Music For Airports,spotify:track:3bCmDqflFBHijgJfvtqev5,1
10 A.M. Automatic,The Black Keys,Rubber Factory,spotify:track:6nAD4H0ujyEeBTxbXZkZeC,4
"10,000 Summers",No Devotion,"10,000 Summers",spotify:track:0OtlpjJJr6s1pOJhvPJXQY,1
12 Through 15,Mayday Parade,Monsters in the Closet,spotify:track:4xa493eYDc03aRE890oo6I,1
12:51,The Strokes,Room On Fire,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,2
19-2000,Gorillaz,Gorillaz,spotify:track:1kSWrMDt439cT64WpjJigW,5
19-2000,Gorillaz,The Singles Collection 2001-2011,spotify:track:5X6xhrdsWZDeXTWfMPLOcb,5
19-2000 - Soulchild Remix,Gorillaz,The Singles Collection 2001-2011,spotify:track:2EC2GG0fHeWJ6uhAAHdMGl,3
1901,Phoenix,Wolfgang Amadeus Phoenix,spotify:track:7hExqd5aeA6cdDFx6sBfd3,1
1979,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,spotify:track:5KRRcT67VNIZUygEbMoIC1,1
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,spotify:track:3Y8Ff1nH44jFywAtpgmleZ,1
1983...(A Merman I Should Turn to Be),Jimi Hendrix,Electric Ladyland,spotify:track:5uDpwSGjljhIgDB1ZYdp9c,28
1999,Prince,1999,spotify:track:2H7PHVdQ3mXqEHXcvclTB0,33
1999 - Edit,Prince,The Very Best of Prince,spotify:track:7MoJIfitwutdf2B9RbJddt,20
19th Nervous Breakdown - (Original Single Mono Version),The Rolling Stones,Singles 1965-1967,spotify:track:70SQ8mfy9wAeWLczsTN6FH,1
2 Hearts,Kylie Minogue,Boombox,spotify:track:1OODa4x3P0DarexE3Uc2a8,1
