Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
64mnJp1lv1xuahULNJnqsV,"4wXchxfTTggLtzkoUhO86Q","Henry","For Young Hearts","Soccer Mommy",2016-06-17,227600,47,spotify:user:prancingoctopus,2023-12-03T22:37:12Z,"art pop,bubblegrunge,indie pop,indie rock,small room",0.681,0.618,9,-8.712,1,0.0283,0.702,0.00105,0.0872,0.707,123.01,4
1zJ21PzQPtRIyUxcE3xuzh,"0wNZvrIMNUCs24G0wFg2D6","Rainbow","WORRY.","Jeff Rosenstock",2016-10-14,90623,36,spotify:user:prancingoctopus,2023-12-03T22:37:25Z,"bubblegrunge,folk punk,indie punk,modern power pop",0.571,0.985,4,-3.982,1,0.102,0.0177,0,0.551,0.43,107.765,4
1fEGtTZjrjJW8eUeewnNJR,"4M5nCE77Qaxayuhp3fVn4V","Flightless Bird, American Mouth","The Shepherd's Dog","Iron & Wine",2007-09-25,241917,72,spotify:user:prancingoctopus,2023-12-03T22:37:32Z,"acoustic pop,chamber pop,indie folk,indie rock,stomp and holler",0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,3
2hIsd0F6ZGfHCC1xa7vSad,"1QAJqy2dA3ihHBFIHRphZj","Each Time You Fall in Love","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290630,70,spotify:user:prancingoctopus,2023-12-03T22:37:39Z,"ambient pop,dream pop,el paso indie,shoegaze",0.378,0.533,10,-8.843,1,0.0279,0.479,0.508,0.131,0.285,75.927,4
1FWsomP9StpCcXNWmJk8Cl,"1QAJqy2dA3ihHBFIHRphZj","K.","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,320030,85,spotify:user:prancingoctopus,2023-12-03T22:37:50Z,"ambient pop,dream pop,el paso indie,shoegaze",0.454,0.4,3,-10.261,1,0.0265,0.139,0.846,0.137,0.327,93.719,4
4LQCYlkxqjsnGLHUSS2BGl,"0wNZvrIMNUCs24G0wFg2D6","I Did Something Weird Last Night","WORRY.","Jeff Rosenstock",2016-10-14,191193,42,spotify:user:prancingoctopus,2023-12-03T22:37:59Z,"bubblegrunge,folk punk,indie punk,modern power pop",0.521,0.884,7,-5.492,1,0.0577,0.0109,0,0.244,0.633,127.185,4
2erNwv0Yti7uirpIU8wbvv,"4UXqAaa6dQYAk18Lv7PEgX","7 Minutes In Heaven (Atavan Halen)","From Under The Cork Tree","Fall Out Boy",2005-05-03,182706,57,spotify:user:prancingoctopus,2023-12-03T22:38:09Z,"emo,modern rock,pop,rock",0.468,0.981,11,-3.295,1,0.0609,0.000702,0,0.124,0.683,186.341,4
4pmU8AtVu9qU40Xd9zjEfA,"4UXqAaa6dQYAk18Lv7PEgX","A Little Less Sixteen Candles, A Little More Touch Me","From Under The Cork Tree","Fall Out Boy",2005-05-03,169026,67,spotify:user:prancingoctopus,2023-12-03T22:38:15Z,"emo,modern rock,pop,rock",0.538,0.889,7,-3.586,1,0.0596,0.00704,0,0.312,0.696,133.044,4
5t3Vk8bRKylx4fjj7qlbib,"6qqNVTkY8uBg9cP3Jd7DAH","bitches broken hearts","bitches broken hearts","Billie Eilish",2018-03-30,176471,75,spotify:user:prancingoctopus,2023-12-03T22:38:22Z,"art pop,pop",0.778,0.422,0,-10.114,1,0.0482,0.921,0.00924,0.0958,0.187,120.033,4
2ravLKGYnJWa7szKSBRTRJ,"7pbDxGE6nQSZVfiFdq9lOL","Corduroy Dreams","Bcos U Will Never B Free","Rex Orange County",2016-11-07,206974,69,spotify:user:prancingoctopus,2023-12-03T22:38:31Z,"bedroom pop",0.609,0.305,4,-14.037,1,0.053,0.653,0,0.103,0.222,113.818,4
